person_age,person_gender,person_education,person_income,person_emp_exp,person_home_ownership,loan_amnt,loan_intent,loan_int_rate,loan_percent_income,cb_person_cred_hist_length,credit_score,previous_loan_defaults_on_file,actual_loan_status,logistic_prob,tree_prob,logistic_pred,tree_pred
32,1,4,25295,10,3,8000,0,8.49,0.32,6,637,1,1,0.872442947947484,1.0,1,1
24,0,3,247174,0,0,11000,3,10.99,0.04,4,688,1,0,0.034350555688952546,0.25027306488019907,0,0
28,1,3,88177,1,3,29841,1,11.06,0.34,6,620,1,1,0.7750736843064593,1.0,1,1
25,0,4,133055,1,3,5000,5,9.99,0.04,4,718,1,0,0.05053003113884847,0.25027306488019907,0,0
28,1,1,28591,5,2,4798,4,10.44,0.17,7,565,0,0,0.00018684559048161382,0.0,0,0
25,0,1,68100,3,0,8000,3,12.98,0.12,3,578,1,1,0.3474129772002223,0.48189588189584603,0,0
22,1,1,54854,0,0,5000,0,12.61,0.09,2,557,0,0,0.00015167408093505583,0.0,0,0
30,0,1,48927,6,3,7500,3,12.36,0.15,7,644,1,0,0.48754781730266283,0.48189588189584603,0,0
23,1,3,120733,1,0,25000,3,11.71,0.21,3,604,0,0,5.0661920143575925e-05,0.0,0,0
29,1,4,34292,8,3,10000,3,12.84,0.29,7,475,1,1,0.9640201957723818,1.0,1,1
25,0,1,83753,0,3,8500,2,6.92,0.1,4,644,1,1,0.08334961510988607,0.25027306488019907,0,0
22,1,1,102624,0,0,6000,5,11.01,0.06,4,678,0,0,1.0435680503154563e-05,0.0,0,0
23,1,0,66391,0,3,19000,0,11.14,0.29,4,636,1,1,0.8127006412400055,1.0,1,1
30,1,1,43983,5,2,15000,0,11.83,0.34,6,624,0,0,0.001956640253727218,0.0,0,0
37,1,0,40403,13,3,10000,5,5.99,0.25,11,644,0,0,5.61535623506822e-05,0.0,0,0
40,1,0,33760,17,0,6925,1,9.99,0.21,15,680,0,0,9.355207594377025e-05,0.0,0,0
22,0,0,60983,0,2,3600,1,11.01,0.06,3,545,0,0,7.09247290249881e-05,0.0,0,0
22,1,0,15013,0,0,1500,1,14.84,0.1,3,688,1,0,0.5378427371692521,0.8321334503950876,1,1
29,1,3,111908,8,3,13000,3,10.99,0.12,9,614,0,0,5.5199202066216405e-05,0.0,0,0
22,1,1,37190,0,3,3500,5,14.22,0.09,4,591,1,1,0.5999375345327193,0.7734082397003778,1,1
33,0,0,151031,12,3,25000,0,11.36,0.17,5,666,0,0,4.227679211081393e-05,0.0,0,0
34,0,3,82448,12,0,15000,1,11.78,0.18,7,582,1,0,0.37136636011577884,0.48189588189584603,0,0
25,1,3,99464,4,0,15000,2,10.37,0.15,2,651,0,0,2.821617305924085e-05,0.0,0,0
25,1,3,42790,2,3,10500,0,7.29,0.25,3,643,0,0,0.00020210937276234637,0.0,0,0
33,0,1,39737,9,3,2500,3,15.33,0.06,10,676,1,1,0.4475647145741673,0.9388794567062748,0,1
25,1,1,85060,5,3,12000,1,13.55,0.14,3,670,1,0,0.5728208448537545,0.48189588189584603,1,0
24,0,0,94627,4,0,3600,0,5.42,0.04,4,623,0,0,3.354118504803058e-06,0.0,0,0
25,1,0,79334,2,3,4000,4,6.62,0.05,2,607,0,0,1.1409989703559548e-05,0.0,0,0
23,0,1,58944,1,0,12000,5,11.36,0.2,3,606,0,0,6.000725414047496e-05,0.0,0,0
42,0,3,90875,19,0,9600,1,11.99,0.11,11,693,1,0,0.14655093044992015,0.48189588189584603,0,0
21,1,4,51309,0,3,1500,1,5.79,0.03,3,696,0,0,6.3474498098684105e-06,0.0,0,0
25,1,3,75451,0,3,10800,3,15.65,0.14,4,656,1,1,0.7195908119281774,0.9388794567062748,1,1
38,0,3,78947,14,0,11500,3,13.92,0.15,16,682,1,0,0.2508869783501861,0.7734082397003778,0,1
27,0,4,70438,7,3,7262,1,11.42,0.1,6,737,1,0,0.18999656485495828,0.48189588189584603,0,0
26,1,1,83887,2,3,14016,5,12.75,0.17,3,560,0,0,0.00023519096473832265,0.0,0,0
36,0,0,53649,14,3,16000,4,14.34,0.3,10,512,1,1,0.9347843320035303,1.0,1,1
27,0,3,43853,4,3,8000,0,13.92,0.18,9,542,0,0,0.0009757386935016246,0.0,0,0
22,0,3,64656,0,0,6500,1,13.61,0.1,3,683,0,0,5.3719712552622895e-05,0.0,0,0
24,0,3,34083,2,3,5000,4,15.07,0.15,4,680,1,1,0.6534628793527634,0.9388794567062748,1,1
24,1,3,39480,0,3,1900,3,13.49,0.05,2,649,0,0,0.00011414675862387997,0.0,0,0
24,0,3,74290,1,3,11200,4,9.99,0.15,3,620,0,0,4.80121172483301e-05,0.0,0,0
33,1,1,29877,12,3,5000,0,10.65,0.17,7,506,0,0,0.000704040770516393,0.0,0,0
29,0,4,28002,7,3,3000,1,10.09,0.11,4,670,0,0,6.281125648979058e-05,0.0,0,0
34,0,1,48928,10,3,1200,0,7.88,0.02,8,652,1,0,0.08159530141578894,0.25027306488019907,0,0
52,1,3,58544,32,3,11000,3,12.73,0.19,22,684,1,0,0.5203936165067578,0.48189588189584603,1,0
22,1,3,70461,0,0,11050,3,6.54,0.16,4,645,1,0,0.07020378471542095,0.25027306488019907,0,0
35,0,1,70418,15,3,9000,0,11.0,0.13,10,647,1,0,0.35745416272134306,0.25027306488019907,0,0
26,1,4,157279,3,0,35000,4,18.25,0.22,4,693,1,0,0.41252926673020646,0.8321334503950876,0,1
23,1,0,59480,4,3,4800,1,11.36,0.08,4,577,1,0,0.4725260725452717,0.48189588189584603,0,0
23,1,1,47666,0,3,10000,2,15.2,0.21,4,706,1,1,0.8365498786551391,0.9388794567062748,1,1
24,1,0,42879,0,0,15000,3,14.27,0.35,2,597,0,0,0.002319618580998488,0.0,0,0
28,0,1,59853,4,3,3000,0,11.01,0.05,5,663,1,1,0.24115173865391842,0.48189588189584603,0,0
26,1,4,89029,8,0,17500,5,11.01,0.2,3,707,0,0,2.2206692611258643e-05,0.0,0,0
23,1,1,72776,2,0,10000,1,11.26,0.14,3,492,0,0,0.0001646921792348235,0.0,0,0
24,1,1,76551,2,3,16716,3,15.72,0.22,4,625,1,1,0.8508657141135261,0.9388794567062748,1,1
22,0,4,127015,4,0,16000,4,12.73,0.13,4,682,0,0,1.5410288715866142e-05,0.0,0,0
23,1,3,54979,0,3,14542,4,10.41,0.26,4,675,1,1,0.5665256802339304,1.0,1,1
23,0,4,189903,1,3,10000,1,12.69,0.05,2,637,1,0,0.242290901347693,0.48189588189584603,0,0
22,1,1,46412,0,0,1950,1,7.37,0.04,4,585,0,0,1.1541445343554565e-05,0.0,0,0
33,0,2,80786,14,0,10000,3,10.79,0.12,7,683,1,0,0.08727841422958735,0.25027306488019907,0,0
23,0,3,114893,3,0,4400,3,7.9,0.04,3,614,1,0,0.031605566562631485,0.25027306488019907,0,0
23,0,1,65923,4,0,10000,1,11.49,0.15,4,667,1,0,0.22319675545937384,0.48189588189584603,0,0
29,1,1,100669,5,3,10000,1,11.99,0.1,6,709,1,0,0.30354222535579356,0.48189588189584603,0,0
57,0,0,78215,32,3,8000,5,8.9,0.1,19,673,0,0,1.1197389666693753e-05,0.0,0,0
38,0,1,71076,15,3,5000,0,8.21,0.07,10,683,1,0,0.1024916762134468,0.25027306488019907,0,0
22,0,3,45162,0,3,16000,5,7.9,0.35,2,632,1,1,0.6001959531591731,1.0,1,1
22,0,0,61193,0,0,15000,1,8.78,0.25,3,658,0,0,5.4327642372097094e-05,0.0,0,0
44,1,0,73000,24,2,11800,4,8.63,0.16,12,581,0,0,4.0458501931068145e-05,0.0,0,0
23,0,1,59971,0,0,9600,0,5.42,0.16,3,573,0,0,1.6749667629677964e-05,0.0,0,0
26,0,0,147841,5,0,4800,1,11.01,0.03,3,676,1,0,0.06880911225053102,0.48189588189584603,0,0
28,1,3,39647,6,3,2500,3,15.99,0.06,5,642,1,1,0.650847981244806,0.9388794567062748,1,1
29,1,4,31388,8,3,10000,2,11.34,0.32,5,648,1,1,0.907117423838654,1.0,1,1
27,0,3,128256,3,0,4744,2,7.78,0.04,6,683,0,0,3.428228691895202e-06,0.0,0,0
22,0,1,151143,1,1,10000,5,14.74,0.07,2,688,1,0,0.1525064472371622,0.8321334503950876,0,1
25,1,0,37359,0,0,5000,3,10.0,0.13,2,617,1,1,0.2630734059080195,0.6225490196078499,0,1
37,0,0,313076,13,0,20000,5,14.96,0.06,12,673,1,0,0.0560133575694183,0.8321334503950876,0,1
31,0,3,124528,8,0,4269,5,6.85,0.03,7,675,0,0,1.4514877242306106e-06,0.0,0,0
23,1,0,78861,1,0,5000,1,11.01,0.06,2,572,1,0,0.24068340250473017,0.48189588189584603,0,0
25,0,0,73054,5,0,8000,0,5.79,0.11,2,663,0,0,5.66521430826408e-06,0.0,0,0
22,0,3,70373,3,1,15000,0,13.79,0.21,4,669,1,0,0.582093931842675,0.7734082397003778,1,1
41,0,0,58560,16,3,11000,3,7.66,0.19,15,708,1,0,0.13558141391576395,0.25027306488019907,0,0
27,0,0,55370,2,0,3000,3,6.99,0.05,7,603,0,0,5.049287643326897e-06,0.0,0,0
23,0,0,19312,4,0,2800,4,8.49,0.14,3,661,1,1,0.10145414709638029,0.9571385451252645,0,1
38,0,1,28294,14,3,10000,1,13.48,0.35,16,691,1,1,0.9424679291870729,1.0,1,1
23,0,3,54969,4,3,15000,4,12.84,0.27,3,652,1,1,0.7118653383984471,1.0,1,1
30,0,4,42869,3,0,9500,2,11.99,0.22,8,679,0,0,0.0001228549914265456,0.0,0,0
28,0,1,133093,6,0,12000,3,8.94,0.09,7,460,1,0,0.1193168817802412,0.25027306488019907,0,0
21,1,1,19367,0,2,2500,3,6.03,0.13,2,673,1,1,0.10907607144851672,0.9571385451252645,0,1
31,1,0,132997,11,0,5000,5,14.96,0.04,9,706,1,0,0.13928065641383466,0.8321334503950876,0,1
27,0,3,90908,2,3,14000,1,9.64,0.15,5,698,0,0,3.287234080852541e-05,0.0,0,0
23,0,1,73062,0,3,15000,5,11.83,0.21,3,697,0,0,7.643822095830055e-05,0.0,0,0
25,0,3,40534,1,0,4400,1,8.0,0.11,3,626,1,0,0.11171469587783661,0.6225490196078499,0,1
30,0,1,217320,11,0,20000,0,11.48,0.09,8,668,0,0,8.667039858519627e-06,0.0,0,0
25,0,1,58841,1,3,6000,1,10.74,0.1,4,671,1,0,0.27239399148196936,0.25027306488019907,0,0
24,1,1,44112,3,3,2500,2,16.77,0.06,3,566,1,1,0.8263084453086231,0.9388794567062748,1,1
30,0,4,49022,9,0,8600,2,10.65,0.18,6,600,0,0,7.464543177934999e-05,0.0,0,0
28,1,1,35783,7,3,4200,3,7.51,0.12,5,649,1,0,0.18088904602245912,0.6225490196078499,0,1
36,1,1,69108,14,3,3000,1,13.08,0.04,12,689,0,0,6.7427429354546e-05,0.0,0,0
